,title,location,company,salary,city,state,parsed_salary
7644,Expert Data Analyst/ SQL Expert,United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7645,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7646,Image Data Scientist (TEC0001YO),"Houston, TX",HX5,NaN,Houston,TX,NaN
7647,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7648,Machine Learning Expert,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7649,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7650,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7651,Well Cementing Research Scientist,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7652,"Software Development Engineer, Big Data- Relocation Opportun...","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7653,Expert Data Analyst/ SQL Expert,United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7654,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7655,Image Data Scientist (TEC0001YO),"Houston, TX",HX5,NaN,Houston,TX,NaN
7656,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7657,Machine Learning Expert,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7658,Project Associate,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7659,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7660,Well Cementing Research Scientist,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7661,"Software Development Engineer, Big Data- Relocation Opportun...","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7662,Research Scientist [Exp. with Machine Learning & Computer Vi...,United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7663,Expert Data Analyst/ SQL Expert,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7664,Well Cementing Research Scientist,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7665,Image Data Scientist (TEC0001XP),"Houston, TX",HX5,NaN,Houston,TX,NaN
7666,Machine Learning Expert,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7667,"Institute Assoc Scientist II - Program Biology, ORBIT","Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7668,Data Scientist – Predictive Analytics,"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7669,Project Associate,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7670,Research Technician,"Houston, TX",MD ANDERSON CANCER CENTER,NaN,Houston,TX,NaN
7671,"Institute Assoc Scientist II - In Vivo Pharma, ORBIT","Houston, TX",Gallup,NaN,Houston,TX,NaN
7672,Engineering Consultant,"Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7673,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7674,Machine Learning Expert,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7675,Project Associate,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7676,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7677,Image Data Scientist (TEC0001YO),"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
