budget,studio,sound,aspect,color,aspect_ratio
"[u'\nBudget:        $6,000,000        \n\n      (estimated)\n']","[u'Paramount Pictures', u'Penthouse', u'Long Road Productions']",[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $13,000,000        \n\n      (estimated)\n']","[u'Paramount Pictures', u'The Coppola Company']",[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        \xa3229,575        \n\n      (estimated)\n']","[u'Michael White Productions', u'National Film Trustee Company', u'Python (Monty) Pictures']","[u'Dolby Digital', u'Mono']",,[u'Color'],[u'\nAspect Ratio: 1.66 : 1\n    ']
"[u'\nBudget:        $11,000,000        \n\n      (estimated)\n']","[u'Peregrine', u'Hawk Films', u'Warner Bros.']",[u'Mono'],,"[u'Color', u'Color']",[u'\nAspect Ratio: 1.66 : 1\n    ']
"[u'\nBudget:        $1,800,000        \n\n      (estimated)\n']","[u'Warner Bros.', u'Artists Entertainment Complex']",[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 1.33 : 1\n    ']
"[u'\nBudget:        $8,000,000        \n\n      (estimated)\n']","[u'Zanuck/Brown Productions', u'Universal Pictures']","[u'Mono', u'Dolby Digital', u'DTS', u'Dolby Surround 7.1']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $4,400,000        \n\n      (estimated)\n']",[u'Fantasy Films'],[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
[],"[u'United Producers', u'Sippy Films', u'Sholay Media & Entertainment']","[u'70 mm 6-Track', u'Mono', u'Mono']",,[u'Color'],[u'\nAspect Ratio: 1.37 : 1\n    ']
"[u'\nBudget:        $10,000,000        \n\n      (estimated)\n']",[u'Filmco International Productions'],"[u'4-Track Stereo', u'Mono']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $3,800,000        \n\n      (estimated)\n']",[u'Metro-Goldwyn-Mayer (MGM)'],[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $960,000        \n\n      (estimated)\n']",[u'Chartoff-Winkler Productions'],[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 1.33 : 1\n    ']
