,title,location,company,salary,city,state
164,Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI
165,Data Scientist Engineer,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
166,Descriptive Analytics - Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
167,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
168,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
169,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI
170,Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI
171,Machine Learning for Autonomous Vehicles Research Engineer,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
172,Data Analytical Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
173,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
174,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
175,Automated Driving Research Scientist – Real-time Path Planni...,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
176,Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI
177,R&D Quantitative Analyst – Machine Learning,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
178,Descriptive Analytics - Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
179,Autonomous Driving Research Scientist – Real-time Robotic Vi...,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
180,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
181,Machine Learning for Autonomous Vehicles Research Engineer,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
182,Data Scientist/Analyst,"Troy, MI",Altair Engineering,NaN,Detroit,MI
183,Data Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
184,Descriptive Analytics - Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
185,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
186,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
187,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
188,Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI
189,Machine Learning for Autonomous Vehicles Research Engineer,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
190,Data Scientist/Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
191,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
192,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
193,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI
194,Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI
195,Machine Learning for Autonomous Vehicles Research Engineer,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
196,Data Analytical Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
197,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
198,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI
199,Machine Learning for Autonomous Vehicles Research Engineer,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
200,Descriptive Analytics - Data Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
201,Data Scientist/Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
202,Data Analytical Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
203,R&D Quantitative Analyst – Machine Learning,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI
204,Marketing Research Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
205,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI
206,Machine Learning for Autonomous Vehicles Research Engineer,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
207,Descriptive Analytics - Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI
208,Data Scientist/Analyst,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
209,Data Analytical Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
210,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
211,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI
212,Machine Learning for Autonomous Vehicles Research Engineer,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
213,Descriptive Analytics - Data Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
214,Data Scientist/Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
215,Data Analytical Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
216,R&D Quantitative Analyst – Machine Learning,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI
217,Marketing Research Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
218,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
219,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI
220,Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI
221,Machine Learning for Autonomous Vehicles Research Engineer,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
222,Data Analytical Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
